[2026-05-14T03:17:22.570Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:17:22.570Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:17:27.921Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:17:27.922Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:17:27.922Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:17:38.266Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:17:38.266Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:17:38.266Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:17:46.479Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:17:46.479Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:17:46.479Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:17:54.711Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:17:54.712Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:17:54.712Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:06.011Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:06.012Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:06.012Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:13.772Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:13.772Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:13.772Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:18.711Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:18.711Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:18.711Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:37.774Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:37.774Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:37.774Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:47.101Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:47.102Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:47.102Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:53.673Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:53.673Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:53.673Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:18:58.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:18:58.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:18:58.393Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:08.882Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:08.882Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:08.882Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:15.796Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:15.796Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:15.796Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:23.726Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:23.726Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:23.726Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:32.045Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:32.045Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:32.045Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:36.698Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:36.698Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:36.698Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:44.663Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:44.663Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:44.663Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:19:57.541Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:19:57.541Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:19:57.541Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:20:02.717Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:20:02.717Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:20:02.717Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:20:09.331Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:20:09.331Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:20:09.331Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:20:29.452Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:20:29.452Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:20:29.452Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:20:34.630Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:20:34.630Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:20:34.630Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:20:55.313Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:20:55.313Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:20:55.313Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:21:01.391Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:21:01.391Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:21:01.391Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:21:13.748Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
